,0,1,2,3,4
354,0,3,male,20,S
355,0,3,male,25,S
356,1,2,female,28,S
357,1,1,male,4,S
358,1,2,female,13,S
359,1,1,male,34,S
360,1,3,female,5,C
361,1,1,male,52,S
362,0,2,male,36,S
363,0,1,male,30,C
364,1,1,male,49,C
365,1,3,male,29,C
366,0,1,male,65,S
367,1,2,female,50,S
368,1,1,male,48,S
369,0,3,male,34,S
370,0,1,male,47,S
371,0,2,male,48,S
372,0,3,male,38,S
373,0,1,male,56,S
374,1,3,female,0.75,C
375,0,3,male,38,S
376,1,2,female,33,S
377,1,2,female,23,C
378,0,3,female,22,S
379,0,2,male,34,S
380,0,3,male,29,S
381,0,3,male,22,S
382,1,3,female,2,S
383,0,3,male,9,S
384,0,3,male,50,S
385,1,3,female,63,S
386,1,1,male,25,C
387,1,1,female,35,S
388,0,1,male,58,C
389,0,3,male,30,S
390,1,3,male,9,S
391,0,3,male,21,S
392,0,1,male,55,S
393,0,1,male,71,C
394,0,3,male,21,S
395,1,1,female,54,C
396,0,1,female,25,S
397,0,3,male,24,S
398,0,3,male,17,S
399,0,3,female,21,Q
400,0,3,female,37,S
401,1,1,female,16,S
402,0,1,male,18,C
403,1,2,female,33,S
404,0,3,male,28,S
405,1,3,male,26,S
406,1,3,male,29,Q
407,1,1,male,36,S
408,1,1,female,54,C
409,0,3,male,24,S
410,0,1,male,47,S
411,1,2,female,34,S
412,1,2,female,36,S
413,0,3,male,32,S
414,1,1,female,30,S
415,0,3,male,22,S
416,1,1,female,44,C
417,0,3,male,40.5,Q
418,1,2,female,50,S
419,0,3,male,39,S
420,0,2,male,23,S
421,1,2,female,2,S
422,0,3,male,17,C
423,0,3,female,30,S
424,1,2,female,7,S
425,0,1,male,45,S
426,1,1,female,30,C
427,1,1,female,22,C
428,1,1,female,36,S
429,0,3,female,9,S
430,0,3,female,11,S
431,1,2,male,32,S
432,0,1,male,50,C
433,0,1,male,64,S
434,1,2,female,19,S
435,0,3,male,33,S
436,1,2,male,8,S
437,1,1,male,17,C
438,0,2,male,27,S
439,1,3,male,22,C
440,1,3,female,22,S
441,0,1,male,62,S
442,1,1,female,48,C
443,1,1,female,39,S
444,1,3,female,36,S
445,0,3,male,40,S
446,0,2,male,28,S
447,0,3,male,24,S
448,0,3,male,19,S
449,0,3,female,29,S
450,1,3,male,32,S
451,1,2,male,62,S
452,1,1,female,53,S
453,1,1,male,36,S
454,0,3,male,16,S
455,0,3,male,19,S
456,1,2,female,34,S
457,1,1,female,39,S
458,1,3,male,32,S
459,1,2,female,25,S
460,1,1,female,39,C
461,0,2,male,54,S
462,0,1,male,36,C
463,1,1,female,18,S
464,0,2,male,47,S
465,1,1,male,60,C
466,0,3,male,22,S
467,0,3,male,35,S
468,1,1,female,52,C
469,0,3,male,47,S
470,0,2,male,37,S
471,0,3,male,36,S
472,0,3,male,49,S
473,1,1,male,49,C
474,1,2,female,24,S
475,0,3,male,44,S
476,1,1,male,35,C
477,0,3,male,36,S
478,0,3,male,30,S
479,1,1,male,27,S
480,1,2,female,22,C
481,1,1,female,40,S
482,0,3,female,39,S
483,0,3,male,35,S
484,1,2,female,24,S
485,0,3,male,34,S
486,0,3,female,26,S
487,1,2,female,4,S
488,0,2,male,26,S
489,0,3,male,27,C
490,1,1,male,42,S
491,1,3,male,20,C
492,0,3,male,21,S
493,0,3,male,21,S
494,0,1,male,61,S
495,0,2,male,57,Q
496,1,1,female,21,S
497,0,3,male,26,S
498,1,1,male,80,S
499,0,3,male,51,S
500,1,1,male,32,C
501,0,3,female,9,S
502,1,2,female,28,S
503,0,3,male,32,S
504,0,2,male,31,S
505,0,3,female,41,S
506,0,3,male,20,S
507,1,1,female,24,C
508,0,3,female,2,S
509,1,3,female,0.75,C
510,1,1,male,48,C
511,0,3,male,19,S
512,1,1,male,56,C
513,1,3,female,23,S
514,1,2,female,18,S
515,0,3,male,21,S
516,0,3,female,18,Q
517,0,2,male,24,S
518,0,3,female,32,Q
519,0,2,male,23,S
520,0,1,male,58,C
521,1,1,male,50,S
522,0,3,male,40,C
523,0,1,male,47,S
524,0,3,male,36,S
525,1,3,male,20,S
526,0,2,male,32,S
527,0,2,male,25,S
528,0,3,male,43,S
529,1,2,female,40,S
530,0,1,male,31,S
531,0,2,male,70,S
532,1,2,male,31,S
533,0,3,male,18,S
534,0,3,male,24.5,S
535,1,3,female,18,S
536,0,3,female,43,S
537,1,1,male,36,C
538,1,1,male,27,C
539,0,3,male,20,S
540,0,3,male,14,S
541,0,2,male,60,S
542,0,2,male,25,C
543,0,3,male,14,S
544,0,3,male,19,S
545,0,3,male,18,S
546,1,1,female,15,S
547,1,1,male,31,S
548,1,3,female,4,C
549,0,3,male,25,C
550,0,1,male,60,S
551,0,2,male,52,S
552,0,3,male,44,S
553,0,1,male,49,C
554,0,3,male,42,S
555,1,1,female,18,C
556,1,1,male,35,S
557,0,3,female,18,C
558,0,3,male,25,Q
559,0,3,male,26,S
560,0,2,male,39,S
561,1,2,female,45,S
562,1,1,male,42,S
563,1,1,female,22,S
564,1,1,female,24,C
565,1,1,male,48,S
566,0,3,male,29,S
567,0,2,male,52,S
568,0,3,male,19,S
569,1,1,female,38,C
570,1,2,female,27,S
571,0,3,male,33,S
572,1,2,female,6,S
573,0,3,male,17,S
574,0,2,male,34,S
575,0,2,male,50,S
576,1,1,male,27,S
577,0,3,male,20,S
578,1,2,female,30,S
579,0,2,male,25,S
580,0,3,female,25,S
581,1,1,female,29,S
582,0,3,male,11,C
583,0,2,male,23,S
584,0,2,male,23,S
585,0,3,male,28.5,S
586,0,3,female,48,S
587,1,1,male,35,C
588,0,1,male,36,S
589,1,1,female,21,C
590,0,3,male,24,S
591,1,3,male,31,S
592,0,1,male,70,S
593,0,3,male,16,S
594,1,2,female,30,S
595,0,1,male,19,S
596,0,3,male,31,Q
597,1,2,female,4,S
598,1,3,male,6,S
599,0,3,male,33,S
600,0,3,male,23,S
601,1,2,female,48,S
602,1,2,male,0.67,S
603,0,3,male,28,S
604,0,2,male,18,S
605,0,3,male,34,S
606,1,1,female,33,S
607,0,3,male,41,S
608,1,3,male,20,C
609,1,1,female,36,S
610,0,3,male,16,S
611,1,1,female,51,S
612,0,3,female,30.5,Q
613,0,3,male,32,S
614,0,3,male,24,S
615,0,3,male,48,S
616,0,2,female,57,S
617,1,2,female,54,S
618,0,3,male,18,S
619,1,3,female,5,S
620,1,1,female,43,S
621,1,3,female,13,C
622,1,1,female,17,S
623,0,1,male,29,S
624,0,3,male,25,S
625,0,3,male,25,S
626,1,3,female,18,S
627,0,3,male,8,Q
628,1,3,male,1,S
629,0,1,male,46,C
630,0,2,male,16,S
631,0,3,male,25,S
632,0,2,male,39,S
633,1,1,female,49,S
634,1,3,female,31,S
635,0,3,male,30,C
636,0,3,female,30,S
637,0,2,male,34,S
638,1,2,female,31,S
639,1,1,male,11,S
640,1,3,male,0.42,C
641,1,3,male,27,S
642,0,3,male,31,S
643,0,1,male,39,S
644,0,3,female,18,S
645,0,2,male,39,S
646,1,1,female,33,S
647,0,3,male,26,S
648,0,3,male,39,S
649,0,2,male,35,S
650,0,3,female,6,S
651,0,3,male,30.5,S
652,0,3,female,23,S
653,0,2,male,31,C
654,0,3,male,43,S
655,0,3,male,10,S
656,1,1,female,52,S
657,1,3,male,27,S
658,0,1,male,38,S
659,1,3,female,27,S
660,0,3,male,2,S
661,1,2,male,1,C
662,1,1,female,62,
663,1,3,female,15,C
664,1,2,male,0.83,S
665,0,3,male,23,S
666,0,3,male,18,S
667,1,1,female,39,C
668,0,3,male,21,S
669,1,3,male,32,S
670,0,3,male,20,S
671,0,2,male,16,S
672,1,1,female,30,C
673,0,3,male,34.5,C
674,0,3,male,17,S
675,0,3,male,42,S
676,0,3,male,35,C
677,0,2,male,28,S
678,0,3,male,4,S
679,0,3,male,74,S
680,0,3,female,9,C
681,1,1,female,16,S
682,0,2,female,44,S
683,1,3,female,18,S
684,1,1,female,45,S
685,1,1,male,51,S
686,1,3,female,24,C
687,0,3,male,41,S
688,0,2,male,21,S
689,1,1,female,48,S
690,0,2,male,24,S
691,1,2,female,42,S
692,1,2,female,27,C
693,0,1,male,31,S
694,1,3,male,4,S
695,0,3,male,26,S
696,1,1,female,47,S
697,0,1,male,33,S
698,0,3,male,47,S
699,1,2,female,28,C
700,1,3,female,15,C
701,0,3,male,20,S
702,0,3,male,19,S
703,1,1,female,56,C
704,1,2,female,25,S
705,0,3,male,33,S
706,0,3,female,22,S
707,0,2,male,28,S
708,0,3,male,25,S
709,0,3,female,39,Q
710,0,2,male,27,S
711,1,1,female,19,S
712,1,1,male,26,C
713,0,3,male,32,Q
